ByteBit,ByteBit_Description,Size,Type,Name,ID
0 [0],SID-PR,1 [0],-,-,-
1 [0],RecordDataIdentifier,2 [0],-,-,-
3 [0],BCM - Master_2IBS_Init - IBS3_QuiesCurr_Lmt,1 [0],L,"-250 to 0 mA (1,-250,0)",124956
4 [0],BCM - Master_2IBS_Init - IBS3_ChargeCurr_Lmt,1 [0],L,"0 to 2500 mA (10,0,0)",124949
5 [0],BCM - Master_2IBS_Init - IBS3_MinVolt_Lmt,1 [0],L,"0 to 25.4 V (0.1,0,1)",124955
6 [0],BCM - Master_2IBS_Init - IBS3_MinCharge_Lmt,1 [0],L,"0 to 100 %( 1,0,0)",124954
7 [0],BCM - Master_2IBS_Init - IBS3_BattType,0 [6],L,"0 to 63 Battery Type (1,0,0)",124957
7 [6],BCM - Master_2IBS_Init - IBS3_Batt_Technology,0 [2],T,IBS3_Batt_Technology,179265
8 [0],BCM - Master_2IBS_Init - IBS3_Battery_C0_F,0 [6],L,"90000 to 405000 F(5000,0,0)",76290
8 [6],BCM - Master_2IBS_Init - IBS3_BatteryId_mode,0 [2],T,IBS3_BatteryId_mode,179264
9 [0],BCM - Master_2IBS_Init - IBS3_BatteryCapacity_Ah,0 [7],L,"0 to 252 Ah (2,0,0)",124945
9 [7],Reserved,0 [1],I,1 Bit Identical,11046
10 [0],BCM - Master_2IBS_Init - IBS3_U00_max,0 [6],L,"12.7 to 13.33 V (0.01,12.7,2)",76266
10 [6],BCM - Master_2IBS_Init - IBS3_ActivateMWU,0 [1],T,False / True,32688
10 [7],BCM - Master_2IBS_Init - IBS3_QUS_Cur_Mon,0 [1],T,False / True,32688
11 [0],BCM - CBC_TCSM_1 - PANEL_INTS_TCSM,1 [0],L,"0 to 100 % (0.5, 0, 0)",4448
12 [0],BCM - CBC_TCSM_1 - LnchCtrl_HrdBtn_LED,0 [2],T,LED Status (OFF-CONT-BLINK),179310
12 [2],Reserved,0 [6],I,6 Bit Identical,10029
13 [0],Reserved,0 [2],T,Reserved (2bit),177159
13 [2],BCM - CBC_TCSM_1 - SelSpdLmp_TCSM,0 [2],T,LED Status (OFF-CONT-BLINK),179310
13 [4],BCM - CBC_TCSM_1 - SpStSwStat_TCSM,0 [2],T,LED Status (OFF-CONT-BLINK),179310
13 [6],BCM - CBC_TCSM_1 - ESP_Off_IndLmp_on_Rq_TCSM,0 [1],T,Not Pressed / Pressed,4008
