ID,Name,Size Byte[Bit],Encoding Name,Mask,Min,Max
8,Test Failed,0 [1],FALSE,$1 ,$0 ,$0 
8,Test Failed,0 [1],TRUE,$1 ,$1 ,$1 
9,Test Failed This Operation Cycle,0 [1],FALSE,$1 ,$0 ,$0 
9,Test Failed This Operation Cycle,0 [1],TRUE,$1 ,$1 ,$1 
10,Pending DTC,0 [1],FALSE,$1 ,$0 ,$0 
10,Pending DTC,0 [1],TRUE,$1 ,$1 ,$1 
11,Confirmed DTC,0 [1],FALSE,$1 ,$0 ,$0 
11,Confirmed DTC,0 [1],TRUE,$1 ,$1 ,$1 
12,Test Not Completed Since Last Clear,0 [1],FALSE,$1 ,$0 ,$0 
12,Test Not Completed Since Last Clear,0 [1],TRUE,$1 ,$1 ,$1 
13,Test Failed Since Last Clear,0 [1],FALSE,$1 ,$0 ,$0 
13,Test Failed Since Last Clear,0 [1],TRUE,$1 ,$1 ,$1 
14,Test Not Completed This Operation Cycle,0 [1],FALSE,$1 ,$0 ,$0 
14,Test Not Completed This Operation Cycle,0 [1],TRUE,$1 ,$1 ,$1 
15,Warning Indicator Requested,0 [1],FALSE,$1 ,$0 ,$0 
15,Warning Indicator Requested,0 [1],TRUE,$1 ,$1 ,$1 
35,Communication Type,0 [2],Reserved,$3 ,$0 ,$0 
35,Communication Type,0 [2],Normal Communication Messages,$3 ,$1 ,$1 
35,Communication Type,0 [2],Network Management Communication Messages,$3 ,$2 ,$2 
35,Communication Type,0 [2],Network Management Communication Messages and normal Communication Messages,$3 ,$3 ,$3 
36,Communication Type Target,0 [4],Disable/Enable specified Communication Type (see encoding of bit 0-1) in the receiving node and all connected networks,$F,$0 ,$0 
36,Communication Type Target,0 [4],Network 1,$F,$1 ,$1 
36,Communication Type Target,0 [4],Network 2,$F,$2 ,$2 
36,Communication Type Target,0 [4],Network 3,$F,$3 ,$3 
36,Communication Type Target,0 [4],Network 4,$F,$4 ,$4 
36,Communication Type Target,0 [4],Network 5,$F,$5 ,$5 
36,Communication Type Target,0 [4],Network 6,$F,$6 ,$6 
36,Communication Type Target,0 [4],Network 7,$F,$7 ,$7 
36,Communication Type Target,0 [4],Network 8,$F,$8 ,$8 
36,Communication Type Target,0 [4],Network 9,$F,$9 ,$9 
36,Communication Type Target,0 [4],Network A,$F,$A,$A
36,Communication Type Target,0 [4],Network B,$F,$B,$B
36,Communication Type Target,0 [4],Network C,$F,$C,$C
36,Communication Type Target,0 [4],Network D,$F,$D,$D
36,Communication Type Target,0 [4],Network E,$F,$E,$E
36,Communication Type Target,0 [4],Disable/Enable network which request is received on (receiving node (server)),$F,$F,$F
37,Baudrate Identifier Values,1 [0],CAN 125000 Baud (125 KBaud),$FF,$10 ,$10 
37,Baudrate Identifier Values,1 [0],CAN 500000 Baud (500 KBaud),$FF,$12 ,$12 
37,Baudrate Identifier Values,1 [0],CAN 1000000 Baud (1 MBaud),$FF,$13 ,$13 
38,Address and Length Format Identifier,1 [0],"Length: memoryAddress 4 byte, memorySize 4 byte",$FF,$44 ,$44 
2029,True/False,0 [1],FALSE,$1 ,$0 ,$0 
2029,True/False,0 [1],TRUE,$1 ,$1 ,$1 
2096,Undefined (2b),0 [2],Undefined,$3 ,$0 ,$0 
2577,Failed/Passed (1 Byte),1 [0],Failed,$FF,$0 ,$0 
2577,Failed/Passed (1 Byte),1 [0],Passed,$FF,$1 ,$1 
3795,Off / On,0 [1],Off,$1 ,$0 ,$0 
3795,Off / On,0 [1],On,$1 ,$1 ,$1 
4008,Not Pressed / Pressed,0 [1],Not Pressed,$1 ,$0 ,$0 
4008,Not Pressed / Pressed,0 [1],Pressed,$1 ,$1 ,$1 
4635,VTA Status (VMM 515),1 [0],Disarmed,$FF,$0 ,$0 
4635,VTA Status (VMM 515),1 [0],Pre-Armed,$FF,$1 ,$1 
4635,VTA Status (VMM 515),1 [0],Armed,$FF,$2 ,$2 
4635,VTA Status (VMM 515),1 [0],Alarm - Lights Only,$FF,$3 ,$3 
4635,VTA Status (VMM 515),1 [0],Alarm - Lights and Horn,$FF,$4 ,$4 
4635,VTA Status (VMM 515),1 [0],Tamper Alert,$FF,$5 ,$5 
4635,VTA Status (VMM 515),1 [0],VTA ITM Alarm,$FF,$6 ,$6 
4635,VTA Status (VMM 515),1 [0],SNA,$FF,$7 ,$7 
7234,Not Complete / Complete,0 [1],Not Complete,$1 ,$0 ,$0 
7234,Not Complete / Complete,0 [1],Complete,$1 ,$1 ,$1 
7795,Power window adjustment,0 [3],Not Pressed,$7 ,$0 ,$0 
7795,Power window adjustment,0 [3],Manual Open Pressed,$7 ,$1 ,$1 
