ByteBit,ByteBit_Description,Size,Type,Name,ID
0 [0],SID-PR,1 [0],-,-,-
1 [0],RecordDataIdentifier,2 [0],-,-,-
3 [0],BCM-Master_2IBS_Init_2-IBS3_U00_max_2,0 [6],L,"12.7 to 13.33 V (0.01,12.7,2)",76266
3 [6],BCM-Master_2IBS_Init_2-IBS3_ActivateMWU_2,0 [1],T,False / True,32688
3 [7],BCM-Master_2IBS_Init_2-IBS3_QUS_Cur_Mon_2,0 [1],T,False / True,32688
4 [0],BCM-Master_2IBS_Init_2-IBS3_BatteryCapacity_Ah_2,0 [7],L,0-252 Ah,104969
4 [7],Reserved,0 [1],I,1 Bit Identical,11046
5 [0],BCM-Master_2IBS_Init_2-IBS3_Battery_C0_F_2,0 [6],L,"90000 to 405000 F(5000,0,0)",76290
5 [6],BCM-Master_2IBS_Init_2-IBS3_BatteryId_mode_2,0 [2],T,battery_id_mode2,179244
6 [0],BCM-Master_2IBS_Init_2-IBS3_BattType_2,0 [6],L,"0 to 63 Battery Type (1,0,0)",124957
6 [6],BCM-Master_2IBS_Init_2-IBS3_Batt_Technology_2,0 [2],T,parametrized type of battery,179355
7 [0],BCM-Master_2IBS_Init_2-IBS3_MinCharge_Lmt_2,1 [0],L,"0 to 100 %( 1,0,0)",124954
8 [0],BCM-Master_2IBS_Init_2-IBS3_MinVolt_Lmt_2,1 [0],L,"0 to 25.4 V (0.1,0,1)",124955
9 [0],BCM-Master_2IBS_Init_2-IBS3_ChargeCurr_Lmt_2,1 [0],L,"0 to 2500 mA (10,0,0)",124949
10 [0],BCM-Master_2IBS_Init_2-IBS3_QuiesCurr_Lmt_2,1 [0],L,"-250 to 0 mA (1,-250,0)",124956
18 [0],BCM-BCM_DBSM2_A1-L2plus,0 [1],T,Not Engaged / Engaged,7936
18 [1],BCM-BCM_DBSM2_A1-switch_to_open_cmd,0 [1],T,open/ignore,179241
18 [2],Reserved,7 [6],I,7 Byte Identical,18478
19 [0],BCM-MasterReq-MasterReqB0,1 [0],T,MasterReq (DBSM-IBS3_2),177123
20 [0],BCM-MasterReq-MasterReqB1,1 [0],T,MasterReq (DBSM-IBS3_2),177123
21 [0],BCM-MasterReq-MasterReqB2,1 [0],T,MasterReq (DBSM-IBS3_2),177123
22 [0],BCM-MasterReq-MasterReqB3,1 [0],T,MasterReq (DBSM-IBS3_2),177123
